点赞再看,#genre#
淘电影,http://gat.bkpcp.top/bjyd.php?id=1#http://192.168.31.31:678/bfgd.php?type=live&id=201#http://192.168.31.31:678/tptv2.php?id=HD-10000k-1080P-fhhongkong5s
CCTV-1综合,http://gat.bkpcp.top/ymg.php?id=cctv1#http://192.168.31.31:678/gzdf.php?id=gzgg
CCTV-2财经,http://gat.bkpcp.top/ymg.php?id=cctv2#http://192.168.31.31:35455/tptv/G_CCTV-6-AVS-4K264.m3u8
CCTV-3综艺,http://gat.bkpcp.top/ymg.php?id=cctv3
CCTV-4中文国际,http://gat.bkpcp.top/ymg.php?id=cctv4
CCTV-4美洲,http://gat.bkpcp.top/ymg.php?id=cctv4m
CCTV-4欧洲,http://gat.bkpcp.top/ymg.php?id=cctv4o
CCTV-5体育,http://gat.bkpcp.top/ymg.php?id=cctv5
CCTV-5+体育赛事,http://gat.bkpcp.top/ymg.php?id=cctv5p
CCTV-6电影,http://mobilelive-timeshift.ysp.cctv.cn/ysp/2013693901/timeshift.m3u8?delay=0#http://gat.bkpcp.top/tptv.php?id=G_CCTV-6-AVS-4K264
CCTV-7国防军事,http://gat.bkpcp.top/ymg.php?id=cctv7
CCTV-8电视剧,http://gat.bkpcp.top/ymg.php?id=cctv8
CCTV-9纪录,http://gat.bkpcp.top/ymg.php?id=cctv9
CCTV-10科教,http://gat.bkpcp.top/ymg.php?id=cctv10
CCTV-11戏曲,http://gat.bkpcp.top/ymg.php?id=cctv11
CCTV-12社会与法,http://gat.bkpcp.top/ymg.php?id=cctv12
CCTV-13新闻,http://gat.bkpcp.top/ymg.php?id=cctv13
CCTV-14少儿,http://gat.bkpcp.top/ymg.php?id=cctv14
CCTV-15音乐,http://gat.bkpcp.top/ymg.php?id=cctv15
CCTV-16奥运,http://gat.bkpcp.top/docker.php?id=cctv16
CCTV-17农业农村,http://gat.bkpcp.top/ymg.php?id=cctv17
CETV-1,http://mobilelive-timeshift.ysp.cctv.cn/ysp/2022823801/timeshift.m3u8?delay=0
CETV-1,http://gat.bkpcp.top/tygq.php?id=cetv1
CETV-2,http://gat.bkpcp.top/tygq.php?id=cetv2
CETV-4,http://gat.bkpcp.top/tygq.php?id=cetv4


